"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"62",6,"60608",11,2011,"60608",78794,15,16,10,58,16542,636,31.3,2,5,-0.726407710805259
"63",7,"60609",18,2011,"60609",62773,17,28,4,49,14552,613,30.4,2,5,-0.807071073226925
"64",8,"60610",4,2011,"60610",38740,68,17,7,6,71176,1203,34.3,2,2,1.48814612966976
"65",9,"60611",3,2011,"60611",29722,75,4,15,4,107019,1549,39.5,2,2,2.94101894337818
"66",10,"60612",9,2011,"60612",36052,20,61,4,14,21407,767,30.6,2,5,-0.529208083578423
"67",11,"60613",2,2011,"60613",49536,76,6,6,10,55034,1066,31.5,2,2,0.833840603935824
"68",12,"60614",4,2011,"60614",68363,82,4,5,7,67585,1232,29.8,2,1,1.34258726813398
"69",13,"60615",9,2011,"60615",40745,25,60,7,5,32992,876,33.9,2,4,-0.0596176043548069
"70",14,"60616",11,2011,"60616",49491,24,24,39,11,28052,819,35.8,2,4,-0.259857308054821
"71",15,"60617",22,2011,"60617",83435,7,54,0,37,18242,648,36.1,2,5,-0.65749931074655
"72",16,"60618",9,2011,"60618",97413,44,2,4,47,31862,873,32.9,2,3,-0.105421423217361
"73",17,"60619",23,2011,"60619",64922,1,97,0,1,19987,701,39.4,2,5,-0.586766864803933
"74",18,"60620",24,2011,"60620",73253,1,97,0,1,16347,721,38.2,2,5,-0.734311909635523
"75",19,"60621",16,2011,"60621",33608,1,96,0,1,11893,676,31.6,2,5,-0.914851917789341
"76",20,"60622",6,2011,"60622",54272,59,8,3,28,43393,988,31.1,2,3,0.361980200945567
"77",21,"60623",15,2011,"60623",85158,2,34,0,63,11463,611,27.8,2,5,-0.932281689568897
"78",22,"60624",25,2011,"60624",39283,2,95,0,2,11731,690,27.9,2,5,-0.921418482971407
"79",23,"60625",7,2011,"60625",78966,42,4,14,38,29124,855,33.4,2,3,-0.216404481664859
"80",24,"60626",6,2011,"60626",51061,42,25,7,23,24054,788,33,2,3,-0.421913651251715
"81",25,"60628",24,2011,"60628",71710,2,94,0,3,17025,748,37.5,2,5,-0.706829618317991
"82",26,"60629",19,2011,"60629",113833,9,23,1,67,14299,743,29.2,2,5,-0.81732626452978
"83",27,"60630",4,2011,"60630",57886,59,1,11,27,26705,866,38.1,2,3,-0.314457081513104
"84",29,"60632",12,2011,"60632",90845,10,2,5,83,13596,672,29.3,2,5,-0.845821914671705
"85",31,"60634",4,2011,"60634",72718,59,1,4,35,24269,849,38.9,2,3,-0.413198765361937
"86",32,"60636",18,2011,"60636",39918,1,94,0,3,11897,686,32.2,2,5,-0.914689780377439
"87",33,"60637",22,2011,"60637",48270,16,77,4,2,19746,753,30.7,2,5,-0.59653564387108
"88",34,"60638",5,2011,"60638",56033,54,3,1,41,25850,802,37.2,2,3,-0.349113953307338
"89",35,"60639",18,2011,"60639",91934,7,15,0,77,14310,771,30.3,2,5,-0.816880386647047
"90",36,"60640",12,2011,"60640",64365,53,18,13,13,35414,802,37.2,2,3,0.0385565985523661
"91",37,"60641",7,2011,"60641",70730,38,2,4,54,23168,779,35.3,2,4,-0.457827087988196
"92",38,"60642",6,2011,"60642",18312,59,11,5,21,45788,1035,31.7,2,3,0.459059976322396
"93",39,"60643",12,2011,"60643",51836,23,72,0,3,28249,779,42.1,2,4,-0.251872040518606
"94",40,"60644",16,2011,"60644",47631,2,94,0,3,13381,715,32.5,2,5,-0.854536800561483
"95",41,"60645",4,2011,"60645",46913,44,16,15,22,25500,893,35,2,3,-0.363300976848837
"96",42,"60646",1,2011,"60646",28314,76,1,10,12,40071,761,42.7,2,2,0.227325080360254
"97",43,"60647",10,2011,"60647",87146,38,6,3,52,30368,862,31.6,2,4,-0.165979746563074
"98",44,"60649",19,2011,"60649",45444,2,94,0,2,20347,723,37.9,2,5,-0.572174497732677
"99",45,"60651",16,2011,"60651",61150,3,63,0,33,14599,730,32.7,2,5,-0.805165958637067
"100",46,"60652",5,2011,"60652",42517,16,48,0,35,23889,946,34.9,2,5,-0.428601819492708
"101",47,"60653",9,2011,"60653",31086,4,91,1,2,22333,608,35.6,2,5,-0.491673272722915
"102",48,"60654",2,2011,"60654",15885,73,5,10,9,101469,1772,32.8,2,2,2.71605328436298
"103",49,"60655",2,2011,"60655",28173,86,7,1,6,35689,867,37.6,2,1,0.0497035456206867
"104",50,"60656",3,2011,"60656",27468,77,1,8,12,29771,958,41.1,2,2,-0.190178755289573
"105",51,"60657",10,2011,"60657",68088,81,3,7,7,63820,1138,30.5,2,1,1.18997542918042
"106",52,"60659",2,2011,"60659",39657,40,5,32,20,21675,888,35.1,2,4,-0.518344876980933
"107",53,"60660",3,2011,"60660",42060,51,15,13,18,30160,794,36.2,2,3,-0.174410891982022
"108",55,"60707",1,2011,"60707",42712,58,7,3,29,26405,810,39.1,2,3,-0.326617387405818
"109",56,"60827",6,2011,"60827",28547,3,92,0,4,16567,720,31,2,5,-0.725394351980866
"110",58,"60604",1,2014,"60604",415,80,0,16,3,135807,1614,54,5,2,4.10792189684296
"111",57,"60605",3,2014,"60605",24972,58,18,17,5,58338,1560,33.1,5,3,0.967766106167574
"112",5,"60607",2,2014,"60607",25134,53,16,19,8,50222,1303,30.6,5,3,0.6387892974167
"113",6,"60608",7,2014,"60608",78794,15,16,10,58,16542,636,31.3,5,5,-0.726407710805259
