"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"62",6,"60606",1,2010,"60606",2789,75,2,13,9,83005,1855,30.9,1,2,1.68560107818922
"63",7,"60607",12,2010,"60607",25134,53,16,19,8,50222,1303,30.6,1,3,0.484424507061864
"64",8,"60608",21,2010,"60608",78794,15,16,10,58,16542,636,31.3,1,5,-0.749618347941323
"65",9,"60609",25,2010,"60609",62773,17,28,4,49,14552,613,30.4,1,5,-0.822532400241095
"66",10,"60610",15,2010,"60610",38740,68,17,7,6,71176,1203,34.3,1,2,1.25218382961937
"67",11,"60611",17,2010,"60611",29722,75,4,15,4,107019,1549,39.5,1,2,2.56547949624286
"68",12,"60612",17,2010,"60612",36052,20,61,4,14,21407,767,30.6,1,5,-0.571363642193386
"69",13,"60613",5,2010,"60613",49536,76,6,6,10,55034,1066,31.5,1,2,0.660737280763626
"70",14,"60614",26,2010,"60614",68363,82,4,5,7,67585,1232,29.8,1,1,1.1206087734342
"71",15,"60615",14,2010,"60615",40745,25,60,7,5,32992,876,33.9,1,4,-0.146886609081393
"72",16,"60616",11,2010,"60616",49491,24,24,39,11,28052,819,35.8,1,4,-0.327889331875804
"73",17,"60617",24,2010,"60617",83435,7,54,0,37,18242,648,36.1,1,5,-0.687329961554582
"74",18,"60618",26,2010,"60618",97413,44,2,4,47,31862,873,32.9,1,3,-0.188290065914932
"75",19,"60619",29,2010,"60619",64922,1,97,0,1,19987,701,39.4,1,5,-0.623392764939958
"76",20,"60620",47,2010,"60620",73253,1,97,0,1,16347,721,38.2,1,5,-0.756763192262155
"77",21,"60621",25,2010,"60621",33608,1,96,0,1,11893,676,31.6,1,5,-0.919958764595415
"78",22,"60622",21,2010,"60622",54272,59,8,3,28,43393,988,31.1,1,3,0.234208394923599
"79",23,"60623",36,2010,"60623",85158,2,34,0,63,11463,611,27.8,1,5,-0.935714062328531
"80",24,"60624",38,2010,"60624",39283,2,95,0,2,11731,690,27.9,1,5,-0.925894481415798
"81",25,"60625",9,2010,"60625",78966,42,4,14,38,29124,855,33.4,1,3,-0.288611008224871
"82",26,"60626",12,2010,"60626",51061,42,25,7,23,24054,788,33,1,3,-0.474376960566503
"83",27,"60628",39,2010,"60628",71710,2,94,0,3,17025,748,37.5,1,5,-0.731921118162031
"84",28,"60629",26,2010,"60629",113833,9,23,1,67,14299,743,29.2,1,5,-0.831802377744534
"85",29,"60630",7,2010,"60630",57886,59,1,11,27,26705,866,38.1,1,3,-0.377243718030474
"86",30,"60631",1,2010,"60631",28899,84,1,2,12,35878,1022,43.7,1,1,-0.0411429131330798
"87",31,"60632",21,2010,"60632",90845,10,2,5,83,13596,672,29.3,1,5,-0.857560457526815
"88",32,"60633",1,2010,"60633",13474,32,25,1,42,20668,749,36.6,1,4,-0.598440770157975
"89",33,"60634",11,2010,"60634",72718,59,1,4,35,24269,849,38.9,1,3,-0.466499311699944
"90",34,"60636",33,2010,"60636",39918,1,94,0,3,11897,686,32.2,1,5,-0.919812203686269
"91",35,"60637",25,2010,"60637",48270,16,77,4,2,19746,753,30.7,1,5,-0.63222305971596
"92",36,"60638",6,2010,"60638",56033,54,3,1,41,25850,802,37.2,1,3,-0.408571112360276
"93",37,"60639",27,2010,"60639",91934,7,15,0,77,14310,771,30.3,1,5,-0.831399335244384
"94",38,"60640",21,2010,"60640",64365,53,18,13,13,35414,802,37.2,1,3,-0.0581439785939313
"95",39,"60641",12,2010,"60641",70730,38,2,4,54,23168,779,35.3,1,4,-0.50684020194218
"96",40,"60642",12,2010,"60642",18312,59,11,5,21,45788,1035,31.7,1,3,0.321961739274331
"97",41,"60643",23,2010,"60643",51836,23,72,0,3,28249,779,42.1,1,4,-0.320671207100399
"98",42,"60644",39,2010,"60644",47631,2,94,0,3,13381,715,32.5,1,5,-0.865438106393374
"99",43,"60645",11,2010,"60645",46913,44,16,15,22,25500,893,35,1,3,-0.421395191910487
"100",58,"60646",3,2010,"60646",28314,76,1,10,12,40071,761,42.7,1,2,0.112489559878451
"101",44,"60647",25,2010,"60647",87146,38,6,3,52,30368,862,31.6,1,4,-0.243030565480691
