"","X.1","X","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"7282",2007577,2007577,10684899,"HZ438207","2016-09-17 03:18:00","091XX S ABERDEEN ST","0460","BATTERY","SIMPLE","SIDEWALK","false","false",2222,22,21,73,"08B",1170590,1844293,2016,"09/24/2016 03:51:24 PM",41.72822,-87.65069,"(41.72821853, -87.650686805)"
"9812",387414,387414,7912650,"HT142949","2011-01-31 12:35:00","074XX S MICHIGAN AVE","1812","NARCOTICS","POSS: CANNABIS MORE THAN 30GMS","SIDEWALK","true","false",323,3,6,69,"18",1178449,1855624,2011,"02/04/2016 06:33:39 AM",41.759137505,-87.621554547,"(41.759137505, -87.621554547)"
"77268",1970489,1970489,10620132,"HZ373389","2016-08-01 01:00:00","025XX W BELDEN AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1431,14,1,22,"07",1159308,1915286,2016,"08/08/2016 03:57:28 PM",41.92327,-87.69007,"(41.923269869, -87.690068045)"
"64267",906839,906839,8727673,"HV400658","2012-07-26 12:15:00","026XX S PRAIRIE AVE","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","TAXICAB","false","false",133,1,4,35,"11",1178484,1887040,2012,"02/04/2016 06:33:39 AM",41.84535,-87.62047,"(41.845345061, -87.620471366)"
"67353",1693326,1693326,10119350,"HY307787","2015-06-18 06:45:00","043XX W WEST END AVE","0560","ASSAULT","SIMPLE","RESIDENCE","false","true",1114,11,28,26,"08A",1147562,1900624,2015,"08/17/2015 03:03:40 PM",41.88327,-87.7336,"(41.883269495, -87.733603976)"
"74665",1436081,1436081,9595756,"HX246042","2014-05-02 06:50:00","013XX N CENTRAL AVE","0486","BATTERY","DOMESTIC BATTERY SIMPLE","ALLEY","true","true",2532,25,37,25,"08B",1138752,1908546,2014,"02/04/2016 06:33:39 AM",41.90517,-87.76576,"(41.905172838, -87.76576286)"
"67128",103537,103537,7468620,"HS270166","2010-04-22 12:00:00","078XX S CLAREMONT AVE","2820","OTHER OFFENSE","TELEPHONE THREAT","SIDEWALK","false","false",835,8,18,70,"26",1162098,1852700,2010,"02/04/2016 06:33:39 AM",41.751469241,-87.681561561,"(41.751469241, -87.681561561)"
"50840",422720,422720,7970553,"HT203232","2011-03-14 08:00:00","039XX W POLK ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","SIDEWALK","true","false",1132,11,24,26,"18",1150346,1896078,2011,"02/04/2016 06:33:39 AM",41.870740921,-87.72349948,"(41.870740921, -87.72349948)"
"48365",2337429,2337429,7672243,"HS477248","2010-08-23 02:00:00","020XX N DAMEN AVE","0810","THEFT","OVER $500","STREET","false","false",1432,14,32,22,"06",1162698,1913682,2010,"02/04/2016 06:33:39 AM",41.9188,-87.67766,"(41.918797929, -87.677657048)"
"83378",1509882,1509882,9720025,"HX369674","2014-07-02 10:30:00","006XX N FRANKLIN ST","0820","THEFT","$500 AND UNDER","BAR OR TAVERN","false","false",1831,18,42,8,"06",1174211,1904618,2014,"02/04/2016 06:33:39 AM",41.89368,-87.63563,"(41.893676531, -87.635628328)"
