"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1541",17043841210,4226,50,4,22,21,23790,966,31.7
"1542",17043841307,6068,90,3,3,5,35619,NA,41
"1543",17043841308,4609,78,1,8,10,38144,1521,39.4
"1544",17043841310,3762,78,3,9,6,46232,NA,37.8
"1545",17043841312,4177,22,1,31,45,28162,808,27
"1546",17043841313,2841,82,2,4,12,35098,742,45.1
"1547",17043841314,6263,80,1,11,8,33262,1550,35.6
"1548",17043841315,3198,61,7,14,17,26801,825,35.1
"1549",17043841316,3499,85,0,8,7,42254,NA,42.1
"1550",17043841318,2944,66,1,18,15,29509,1406,33.7
"1551",17043841320,2727,47,8,22,23,19498,1077,33.5
"1552",17043841321,2637,74,2,14,7,34320,1455,38.5
"1553",17043841322,4647,41,7,38,14,28748,1455,38.6
"1554",17043841323,3187,62,0,21,17,32819,1340,34.8
"1555",17043841324,2768,74,1,14,7,37430,NA,38.2
"1556",17043841325,6146,70,2,21,7,34293,878,39.9
"1557",17043841326,3183,80,0,15,5,45582,NA,49.5
"1558",17043841327,4315,84,1,9,6,42562,NA,39.7
"1559",17043841401,5917,58,1,1,39,33047,888,36.3
"1560",17043841403,3812,87,2,0,9,40454,991,44.2
"1561",17043841404,3239,86,0,5,4,43800,588,42.4
"1562",17043841501,6482,37,4,1,58,22180,595,30.3
"1563",17043841503,3770,18,0,0,81,16037,1131,30
"1564",17043841504,3067,37,6,2,54,23452,783,30.8
"1565",17043841603,4435,56,1,5,37,34772,838,33.7
"1566",17043841604,4549,54,11,8,21,26864,1152,29.8
"1567",17043841605,4149,57,2,6,33,26766,860,33.5
"1568",17043841606,2055,81,3,6,1,55622,1235,35.6
"1569",17043841607,5118,66,2,3,26,30157,1105,34.2
"1570",17043841703,7142,43,13,14,28,32160,838,33.2
"1571",17043841704,4283,74,13,5,6,48303,493,37.5
"1572",17043841705,5572,59,1,17,20,32860,798,38.9
"1573",17043841706,4013,42,14,20,21,23679,879,31.2
"1574",17043841801,4933,87,3,8,2,43408,1092,37.1
"1575",17043841802,5114,90,2,2,5,40042,1288,42.9
"1576",17043841901,2454,93,0,2,3,50747,1788,41.2
"1577",17043841902,4157,78,4,8,6,19663,777,20.7
"1578",17043842000,4272,93,4,2,1,68982,1489,42.1
"1579",17043842100,5960,90,0,4,4,50885,1219,40.9
"1580",17043842200,4861,89,1,3,6,54606,740,39.5
"1581",17043842300,3720,93,1,1,4,51538,1517,37.6
"1582",17043842400,5758,74,5,10,8,29250,892,34.1
"1583",17043842500,2960,86,4,4,4,45387,895,37.9
"1584",17043842601,4715,90,1,6,2,61471,1467,40.6
"1585",17043842602,4658,93,1,2,2,63581,NA,45.3
"1586",17043842603,3889,81,4,3,8,31283,1147,40.9
"1587",17043842604,4372,83,6,3,8,43041,776,49.2
"1588",17043842605,3796,86,1,3,4,45856,1090,45.5
"1589",17043842702,4758,72,6,10,8,39481,1192,32.8
"1590",17043842703,4295,86,2,5,7,39412,1363,37.9
"1591",17043842704,4828,81,4,7,5,37758,1066,39.4
"1592",17043842706,4697,84,3,5,8,41430,817,43.4
"1593",17043842708,2460,75,9,8,6,53484,NA,46.8
"1594",17043842709,3496,68,14,9,8,35126,1183,41
"1595",17043842710,3730,79,4,10,5,35528,953,44.7
"1596",17043842711,2858,89,0,6,4,48524,NA,47
"1597",17043842800,4630,83,0,9,6,41927,892,40.6
"1598",17043842900,5499,89,1,5,3,42871,1077,30.5
"1599",17043843000,4423,85,3,3,8,44238,888,39.1
"1600",17043843100,3982,67,5,3,23,26559,846,35.6
"1601",17043843200,5433,65,8,2,24,24074,865,35
"1602",17043843301,3892,63,3,5,29,24441,1366,37.8
"1603",17043843302,3278,89,4,3,3,32971,1322,38.3
"1604",17043843400,3448,89,1,3,5,33914,1098,38.1
"1605",17043843500,5722,90,0,3,5,31578,992,43.2
"1606",17043843601,3794,83,1,0,15,27108,833,39.1
"1607",17043843602,3306,88,5,0,5,32244,865,41.9
"1608",17043843700,4536,87,0,2,12,34176,1337,37.5
"1609",17043843800,3483,79,4,10,6,33223,1155,40.6
"1610",17043843900,4039,91,0,2,5,43599,1389,38.2
"1611",17043844001,3608,90,0,4,4,49513,2001,41.5
"1612",17043844002,4757,97,0,0,2,58764,1313,39.1
"1613",17043844100,3924,91,0,1,8,39292,1599,38.9
"1614",17043844201,5665,81,2,5,11,28675,945,39.6
"1615",17043844202,2675,81,0,10,6,38265,1056,45.4
"1616",17043844301,5919,77,8,13,2,46951,1224,41.1
"1617",17043844304,4053,57,11,23,3,34045,1036,33.7
"1618",17043844305,4024,73,6,10,10,39398,1148,51.3
"1619",17043844306,4264,34,9,19,33,29840,1377,36.6
"1620",17043844307,3047,68,3,16,9,32007,878,36.9
"1621",17043844401,3457,87,2,8,3,53065,996,53.5
"1622",17043844402,4840,65,5,20,8,65030,1015,44.7
"1623",17043844501,3891,74,3,11,10,30776,1203,43.3
"1624",17043844502,3038,77,1,20,1,64725,551,60.8
"1625",17043844601,3741,82,2,8,3,58534,1429,56.7
"1626",17043844602,4014,73,7,10,5,48681,1472,49.5
"1627",17043844701,4195,77,0,10,11,29397,960,41.1
"1628",17043844702,5399,87,1,7,3,70386,420,46.1
"1629",17043844801,4213,95,0,1,4,44958,1150,40.5
"1630",17043844802,3209,93,0,3,3,45623,961,44.6
"1631",17043844901,3239,90,0,5,4,42863,950,39.5
"1632",17043844902,4217,93,0,4,1,63392,335,44.4
"1633",17043845000,5535,81,2,4,9,32522,1101,35.8
"1634",17043845100,6419,85,1,7,7,64553,842,39
"1635",17043845200,5048,84,0,8,6,76028,1799,36.8
"1636",17043845300,3191,94,0,3,3,98626,1440,39.4
"1637",17043845401,3252,74,4,13,9,93175,1027,45.4
"1638",17043845402,3252,72,5,16,6,46815,1077,45.6
"1639",17043845502,5054,71,10,9,10,39531,974,40
"1640",17043845505,4168,67,8,14,11,40157,835,47.2
"1641",17043845506,4060,69,11,9,7,33367,956,45.1
"1642",17043845507,3549,87,0,3,3,50184,NA,45.7
"1643",17043845508,3807,80,0,12,3,36964,1180,52.6
"1644",17043845509,3517,57,8,23,3,40364,873,42
"1645",17043845510,3493,53,8,29,8,30946,984,32.8
"1646",17043845601,4321,73,12,4,9,41618,919,36.7
"1647",17043845602,4769,94,4,2,1,37949,770,38.4
"1648",17043845701,3790,84,4,6,4,41398,1317,45.1
"1649",17043845702,4656,94,0,4,2,43357,856,43.9
"1650",17043845703,4765,70,6,13,10,36815,869,37.2
"1651",17043845704,4439,80,3,8,9,36932,1074,44.2
"1652",17043845802,3555,84,1,10,5,36640,1346,48.2
"1653",17043845803,5937,43,34,7,10,29393,951,29.7
"1654",17043845805,3773,77,3,10,10,34482,923,45.1
"1655",17043845807,6258,84,2,9,4,43919,941,47.7
"1656",17043845808,3681,65,0,24,9,42855,NA,40.6
"1657",17043845809,3959,79,2,13,6,38180,920,47.7
"1658",17043845810,4120,65,13,13,7,33157,977,43.6
"1659",17043845811,4073,79,7,5,8,27026,865,42.9
"1660",17043845901,3183,72,2,19,7,84528,NA,50.3
"1661",17043845902,3657,85,1,13,1,58779,1064,46.1
"1662",17043846002,4363,78,3,5,13,37238,1092,36.6
"1663",17043846003,4288,86,0,6,7,41768,885,40.6
"1664",17043846004,3654,77,8,9,6,40972,945,44.6
"1665",17043846102,3958,64,6,11,9,37535,1017,29.8
"1666",17043846103,5429,83,3,8,5,39734,935,35.5
"1667",17043846104,4558,70,1,18,9,40186,746,38.5
"1668",17043846105,3398,83,3,4,6,54665,1706,39.3
"1669",17043846106,3919,64,6,25,5,48836,1173,38.8
"1670",17043846201,5726,79,6,10,5,42183,1019,39.2
"1671",17043846202,5906,66,6,19,5,41916,1038,36.1
"1672",17043846203,4284,76,4,14,2,42294,1681,44.8
"1673",17043846205,3668,78,2,14,4,48785,873,42.5
"1674",17043846206,4306,86,2,7,3,42906,979,41.7
"1675",17043846207,5677,85,2,8,4,44082,1489,40.5
"1676",17043846208,3173,81,1,12,6,58966,NA,47
"1677",17043846209,3720,88,1,6,3,55562,1621,40.4
"1678",17043846304,6248,60,3,30,4,46921,1173,43.3
"1679",17043846305,5714,76,4,5,9,33135,1254,39.6
"1680",17043846307,4528,59,13,9,16,31836,852,34.5
"1681",17043846308,3463,45,19,15,18,31235,953,30.8
"1682",17043846310,4542,61,13,5,18,25362,965,32.9
"1683",17043846311,5587,68,11,8,13,33670,904,38.4
"1684",17043846312,4281,79,6,7,3,46540,962,31.8
"1685",17043846313,4831,66,3,18,9,64428,1289,41.4
"1686",17043846314,3464,81,1,6,6,46095,1160,41.8
"1687",17043846315,4394,82,2,8,6,42004,870,44.7
"1688",17043846404,5981,68,9,7,12,39613,974,36.6
"1689",17043846405,3687,73,4,19,2,49606,1023,44
"1690",17043846408,4112,56,3,35,2,50007,1635,34.3
"1691",17043846409,4343,60,10,20,9,68585,2001,41.8
"1692",17043846410,5288,44,6,26,15,35630,1045,31.3
"1693",17043846411,3847,53,11,15,17,38362,1039,31.2
"1694",17043846412,4673,69,9,17,5,38165,1203,36.3
"1695",17043846413,3466,84,2,4,8,42655,1230,43.2
"1696",17043846504,5921,68,11,4,13,39572,882,38.5
"1697",17043846507,2929,57,9,13,8,45916,1166,32.1
"1698",17043846509,4404,38,16,26,17,31085,1139,31.2
"1699",17043846510,2869,55,3,10,29,30338,967,33.8
"1700",17043846511,6869,54,17,6,22,25296,1185,29.4
"1701",17043846513,2838,61,5,26,7,49548,1204,38.1
"1702",17043846514,4199,50,1,33,12,38627,1489,34.7
"1703",17043846515,5548,46,12,19,21,26120,1162,28.3
"1704",17043846517,6266,56,10,16,11,40800,1173,31.9
"1705",17043846518,3587,78,1,9,11,48566,1143,39
"1706",17043846519,3236,53,8,21,8,34953,1414,34.9
"1707",17043846521,5697,72,3,16,4,49077,1341,41.2
"1708",17043846522,3308,55,6,22,12,41381,1297,33.5
"1709",17043846523,2769,97,0,1,2,40490,NA,40.9
"1710",17043846524,4783,67,3,25,2,50379,1223,38.3
"1711",17043846603,4538,15,7,4,74,15940,828,29.1
"1712",17043846604,3395,62,0,4,34,27190,1072,41.3
"1713",17043846701,4073,56,2,2,40,22848,724,33.5
"1714",17043846702,4353,59,7,3,30,26705,965,35.8
"1715",17045070100,2727,98,0,0,1,26728,413,43
"1716",17045070200,2040,96,0,0,3,22446,328,41
"1717",17045070300,4369,98,0,1,1,20219,400,42.6
"1718",17045070400,5351,96,1,1,1,23010,384,39.9
"1719",17045070500,3852,98,0,0,0,25546,413,47.4
"1720",17047956900,2516,99,1,0,0,20462,335,39.8
"1721",17047957000,1906,98,0,0,1,23345,346,44.5
"1722",17047957100,2273,95,0,1,1,19329,319,44.2
"1723",17049950100,4063,98,0,0,0,27953,427,34.4
"1724",17049950200,4720,97,0,1,2,37650,407,46.1
"1725",17049950300,4216,98,0,0,1,22545,390,40.5
"1726",17049950400,3848,98,0,1,0,20817,400,39.1
"1727",17049950500,4467,94,0,0,4,25358,464,35.1
"1728",17049950600,5221,96,0,0,3,30200,459,42.1
"1729",17049950700,3647,96,1,0,2,25715,409,42.3
"1730",17049950800,4092,96,1,0,1,23459,470,32.8
"1731",17051950500,2997,99,0,0,0,20376,272,40.2
"1732",17051950600,2565,95,0,0,1,18936,374,39.9
"1733",17051950700,4737,92,0,1,0,24439,295,41.8
"1734",17051950800,4274,83,11,0,4,22001,451,39
"1735",17051950900,2112,88,2,7,3,19479,345,36.1
"1736",17051951000,2014,99,0,0,1,22503,402,39.9
"1737",17051951100,3389,99,0,0,1,20510,385,42
"1738",17053961600,2033,95,0,0,4,23525,527,41.7
"1739",17053961700,2135,95,0,0,5,24955,469,45.4
"1740",17053961800,4365,96,1,1,2,25548,440,39.8
"1741",17053961900,1853,96,1,0,3,25900,390,41.1
"1742",17053962000,3605,96,0,0,0,26472,392,43.5
"1743",17055040100,2940,95,0,0,1,20529,379,44.6
"1744",17055040200,3007,98,0,0,1,22086,386,44.5
"1745",17055040300,3060,100,0,0,0,20067,324,39.2
"1746",17055040400,3986,98,0,0,1,19038,363,43.4
"1747",17055040500,2951,98,0,0,1,25870,445,51.3
"1748",17055040600,3009,90,1,1,7,21113,406,38.4
"1749",17055040700,4326,96,0,0,1,18043,458,40.8
"1750",17055040800,3460,98,0,0,1,22975,325,40.4
"1751",17055040900,2764,94,0,1,1,15360,464,41.4
"1752",17055041000,2713,96,0,2,0,16642,327,37.6
"1753",17055041100,3492,96,0,1,1,21832,442,37.4
"1754",17055041200,3762,98,0,0,1,21173,441,41.7
"1755",17057952800,2687,93,0,0,5,21950,463,39.8
"1756",17057952900,2889,99,0,0,0,28054,494,43.9
"1757",17057953000,2388,91,0,0,3,21827,375,44.2
"1758",17057953100,2566,97,0,0,1,26806,369,48.2
"1759",17057953200,2946,96,1,0,1,24070,475,46.9
"1760",17057953300,3649,98,0,0,0,25460,454,43.3
"1761",17057953400,1928,98,1,0,0,20584,476,42
"1762",17057953500,4686,70,17,1,9,13231,451,35.2
"1763",17057953600,4819,95,2,0,1,22265,502,41.6
"1764",17057953700,2340,98,0,0,1,24249,325,48
"1765",17057953800,2848,94,1,0,4,23146,427,43.9
"1766",17057953900,3083,94,1,0,1,21271,334,39.9
"1767",17059972700,2520,96,0,0,0,26329,279,46.7
"1768",17059972800,2996,97,1,0,1,21786,224,43.4
"1769",17061973600,3679,94,3,0,2,20960,414,37.8
"1770",17061973700,1838,97,0,0,1,19497,378,40.9
"1771",17061973800,1989,98,0,0,2,26218,365,45.8
"1772",17061973900,2688,98,1,0,0,18761,405,42.1
"1773",17061974000,3584,99,0,0,0,25620,440,44.7
"1774",17063000102,7481,86,0,0,12,27798,907,33.2
"1775",17063000103,6106,86,5,0,10,27010,1156,29.4
"1776",17063000200,6644,88,3,1,8,31299,827,38.1
"1777",17063000300,3434,77,0,0,23,23257,733,36
"1778",17063000400,5319,92,1,0,7,32572,666,41.7
"1779",17063000500,2818,92,0,0,5,32725,531,44.6
"1780",17063000600,2860,90,0,0,7,27519,586,39.9
"1781",17063000700,6259,93,1,1,4,30121,699,41.1
"1782",17063000800,5370,88,1,0,6,26813,797,32.1
"1783",17063000900,3773,93,0,0,4,26693,610,38.7
"1784",17065973100,2959,96,1,0,2,20996,359,53.6
