"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"83","60625","60625",18,2011,"60625",78966,42,4,14,38,29124,855,33.4
"84","60626","60626",13,2011,"60626",51061,42,25,7,23,24054,788,33
"85","60628","60628",62,2011,"60628",71710,2,94,0,3,17025,748,37.5
"86","60629","60629",55,2011,"60629",113833,9,23,1,67,14299,743,29.2
"87","60630","60630",13,2011,"60630",57886,59,1,11,27,26705,866,38.1
"88","60631","60631",2,2011,"60631",28899,84,1,2,12,35878,1022,43.7
"89","60632","60632",33,2011,"60632",90845,10,2,5,83,13596,672,29.3
"90","60633","60633",5,2011,"60633",13474,32,25,1,42,20668,749,36.6
"91","60634","60634",21,2011,"60634",72718,59,1,4,35,24269,849,38.9
"92","60636","60636",55,2011,"60636",39918,1,94,0,3,11897,686,32.2
"93","60637","60637",47,2011,"60637",48270,16,77,4,2,19746,753,30.7
"94","60638","60638",11,2011,"60638",56033,54,3,1,41,25850,802,37.2
"95","60639","60639",45,2011,"60639",91934,7,15,0,77,14310,771,30.3
"96","60640","60640",24,2011,"60640",64365,53,18,13,13,35414,802,37.2
"97","60641","60641",20,2011,"60641",70730,38,2,4,54,23168,779,35.3
"98","60642","60642",15,2011,"60642",18312,59,11,5,21,45788,1035,31.7
"99","60643","60643",32,2011,"60643",51836,23,72,0,3,28249,779,42.1
"100","60644","60644",52,2011,"60644",47631,2,94,0,3,13381,715,32.5
"101","60645","60645",8,2011,"60645",46913,44,16,15,22,25500,893,35
"102","60646","60646",1,2011,"60646",28314,76,1,10,12,40071,761,42.7
"103","60647","60647",29,2011,"60647",87146,38,6,3,52,30368,862,31.6
"104","60649","60649",49,2011,"60649",45444,2,94,0,2,20347,723,37.9
"105","60651","60651",65,2011,"60651",61150,3,63,0,33,14599,730,32.7
"106","60652","60652",13,2011,"60652",42517,16,48,0,35,23889,946,34.9
"107","60653","60653",27,2011,"60653",31086,4,91,1,2,22333,608,35.6
"108","60654","60654",12,2011,"60654",15885,73,5,10,9,101469,1772,32.8
"109","60655","60655",8,2011,"60655",28173,86,7,1,6,35689,867,37.6
"110","60656","60656",7,2011,"60656",27468,77,1,8,12,29771,958,41.1
"111","60657","60657",20,2011,"60657",68088,81,3,7,7,63820,1138,30.5
"112","60659","60659",8,2011,"60659",39657,40,5,32,20,21675,888,35.1
"113","60660","60660",9,2011,"60660",42060,51,15,13,18,30160,794,36.2
"114","60661","60661",1,2011,"60661",7436,64,6,22,6,76827,1555,31
"115","60707","60707",7,2011,"60707",42712,58,7,3,29,26405,810,39.1
"116","60827","60827",7,2011,"60827",28547,3,92,0,4,16567,720,31
"117","60601","60601",7,2014,"60601",9732,63,11,18,6,89136,1717,36.6
"118","60602","60602",5,2014,"60602",1463,62,2,22,12,66748,1487,32.4
"119","60603","60603",1,2014,"60603",882,61,4,30,5,73239,2001,26.1
"120","60604","60604",4,2014,"60604",415,80,0,16,3,135807,1614,54
"121","60605","60605",9,2014,"60605",24972,58,18,17,5,58338,1560,33.1
"122","60606","60606",1,2014,"60606",2789,75,2,13,9,83005,1855,30.9
"123","60607","60607",12,2014,"60607",25134,53,16,19,8,50222,1303,30.6
"124","60608","60608",20,2014,"60608",78794,15,16,10,58,16542,636,31.3
"125","60609","60609",41,2014,"60609",62773,17,28,4,49,14552,613,30.4
"126","60610","60610",9,2014,"60610",38740,68,17,7,6,71176,1203,34.3
"127","60611","60611",22,2014,"60611",29722,75,4,15,4,107019,1549,39.5
"128","60612","60612",35,2014,"60612",36052,20,61,4,14,21407,767,30.6
"129","60613","60613",12,2014,"60613",49536,76,6,6,10,55034,1066,31.5
"130","60614","60614",16,2014,"60614",68363,82,4,5,7,67585,1232,29.8
"131","60615","60615",14,2014,"60615",40745,25,60,7,5,32992,876,33.9
"132","60616","60616",14,2014,"60616",49491,24,24,39,11,28052,819,35.8
"133","60617","60617",37,2014,"60617",83435,7,54,0,37,18242,648,36.1
"134","60618","60618",21,2014,"60618",97413,44,2,4,47,31862,873,32.9
"135","60619","60619",43,2014,"60619",64922,1,97,0,1,19987,701,39.4
"136","60620","60620",47,2014,"60620",73253,1,97,0,1,16347,721,38.2
"137","60621","60621",29,2014,"60621",33608,1,96,0,1,11893,676,31.6
"138","60622","60622",31,2014,"60622",54272,59,8,3,28,43393,988,31.1
"139","60623","60623",47,2014,"60623",85158,2,34,0,63,11463,611,27.8
"140","60624","60624",44,2014,"60624",39283,2,95,0,2,11731,690,27.9
"141","60625","60625",19,2014,"60625",78966,42,4,14,38,29124,855,33.4
"142","60626","60626",17,2014,"60626",51061,42,25,7,23,24054,788,33
"143","60628","60628",44,2014,"60628",71710,2,94,0,3,17025,748,37.5
"144","60629","60629",40,2014,"60629",113833,9,23,1,67,14299,743,29.2
"145","60630","60630",6,2014,"60630",57886,59,1,11,27,26705,866,38.1
"146","60631","60631",3,2014,"60631",28899,84,1,2,12,35878,1022,43.7
"147","60632","60632",26,2014,"60632",90845,10,2,5,83,13596,672,29.3
"148","60634","60634",20,2014,"60634",72718,59,1,4,35,24269,849,38.9
